Survived,Age,SibSp,Parch,Fare,male,Q,S,Pclass_2,Pclass_3
0,0.2711736617240512,0.125,0.0,0.014151057562208049,1,0,1,0,1
1,0.4722292033174164,0.125,0.0,0.13913573538264068,0,0,0,0,0
1,0.32143754712239253,0.0,0.0,0.015468569817999833,0,0,1,0,1
1,0.4345312892686604,0.125,0.0,0.10364429745562033,0,0,1,0,0
0,0.4345312892686604,0.0,0.0,0.015712553569072387,1,0,1,0,1
0,0.31063859912427566,0.0,0.0,0.01650950209357577,1,1,0,0,1
0,0.6732847449107816,0.0,0.0,0.10122885832000206,1,0,1,0,0
0,0.01985423473234481,0.375,0.16666666666666666,0.04113566043083236,1,0,1,0,1
1,0.33400351847197784,0.0,0.3333333333333333,0.021730754366528396,0,0,1,0,1
1,0.17064589092736868,0.125,0.0,0.058694292654020104,0,0,0,1,0
1,0.04498617743151546,0.125,0.16666666666666666,0.03259622914329302,0,0,1,0,1
1,0.723548630309123,0.0,0.0,0.051822148727810165,0,0,1,0,0
0,0.24604171902488062,0.0,0.0,0.015712553569072387,1,0,1,0,1
0,0.4847951746670017,0.125,0.8333333333333333,0.06104473451835265,1,0,1,0,1
0,0.17064589092736868,0.0,0.0,0.015330377421392339,0,0,1,0,1
1,0.685850716260367,0.0,0.0,0.03122992013728673,0,0,1,1,0
0,0.01985423473234481,0.5,0.16666666666666666,0.05684821399990475,1,1,0,0,1
1,0.3701637353330418,0.0,0.0,0.025374310111545468,1,0,1,1,0
0,0.38426740387031916,0.125,0.0,0.03513366015444757,0,0,1,0,1
1,0.31063859912427566,0.0,0.0,0.014102260811993537,0,0,0,0,1
0,0.4345312892686604,0.0,0.0,0.050748620223090936,1,0,1,1,0
1,0.4219653179190751,0.0,0.0,0.025374310111545468,1,0,1,1,0
1,0.18321186227695402,0.0,0.0,0.015671954672893913,0,1,0,0,1
1,0.34656948982156316,0.0,0.0,0.06929138530460494,1,0,1,0,0
0,0.09525006282985675,0.375,0.16666666666666666,0.04113566043083236,0,0,1,0,1
1,0.4722292033174164,0.125,0.8333333333333333,0.06126431989431795,0,0,1,0,1
0,0.31063859912427566,0.0,0.0,0.014102260811993537,1,0,0,0,1
0,0.2334757476752953,0.375,0.3333333333333333,0.5133418122566507,1,0,1,0,0
1,0.31063859912427566,0.0,0.0,0.01537917417160685,0,1,0,0,1
0,0.31063859912427566,0.0,0.0,0.015411575213749286,1,0,1,0,1
0,0.49736114601658704,0.0,0.0,0.05410739813385612,1,0,0,0,0
1,0.47516261447870134,0.125,0.0,0.2859895551532101,0,0,0,0,0
1,0.31063859912427566,0.0,0.0,0.015126992566498259,0,1,0,0,1
0,0.8240764011058055,0.0,0.0,0.020494635090094415,1,0,1,1,0
0,0.34656948982156316,0.125,0.0,0.16038672010106003,1,0,0,0,0
0,0.5224930887157577,0.125,0.0,0.10149724044618187,1,0,1,0,0
1,0.31063859912427566,0.0,0.0,0.014110458666029575,1,0,0,0,1
0,0.2586076903744659,0.0,0.0,0.015712553569072387,1,0,1,0,1
0,0.22090977632571,0.25,0.0,0.03513366015444757,0,0,1,0,1
1,0.17064589092736868,0.125,0.0,0.021942337075458514,0,0,0,0,1
0,0.49736114601658704,0.125,0.0,0.018493968331299484,0,0,1,0,1
0,0.33400351847197784,0.125,0.0,0.04098927018018883,0,0,1,1,0
0,0.31063859912427566,0.0,0.0,0.015411575213749286,1,0,0,0,1
1,0.032420206081930136,0.125,0.3333333333333333,0.08115719346076702,0,0,0,1,0
1,0.2334757476752953,0.0,0.0,0.01537917417160685,0,1,0,0,1
0,0.31063859912427566,0.0,0.0,0.015712553569072387,1,0,1,0,1
0,0.31063859912427566,0.125,0.0,0.030253985132996517,1,1,0,0,1
1,0.31063859912427566,0.0,0.0,0.015126992566498259,0,1,0,0,1
0,0.31063859912427566,0.25,0.0,0.04231498029001666,1,0,0,0,1
0,0.22090977632571,0.125,0.0,0.034743286152731485,0,0,1,0,1
0,0.08268409148027142,0.5,0.16666666666666666,0.07746484096553544,1,0,1,0,1
0,0.2586076903744659,0.0,0.0,0.01522458606692728,1,0,1,0,1
1,0.610454888162855,0.125,0.0,0.1497654242623688,0,0,0,0,0
1,0.35913546117114853,0.125,0.0,0.050748620223090936,0,0,1,1,0
0,0.8115104297562202,0.0,0.16666666666666666,0.1209753416358076,1,0,0,0,0
1,0.47516261447870134,0.0,0.0,0.06929138530460494,1,0,1,0,0
1,0.2586076903744659,0.0,0.0,0.020494635090094415,0,0,1,1,0
0,0.35285247549635584,0.0,0.0,0.014110458666029575,1,0,0,0,1
1,0.05755214878110078,0.125,0.3333333333333333,0.05416439273810667,0,0,1,1,0
0,0.1329479768786127,0.625,0.3333333333333333,0.09154270340242172,1,0,1,0,1
0,0.2711736617240512,0.0,0.0,0.014110458666029575,1,0,0,0,1
0,0.5601910027645137,0.125,0.0,0.16293234896625058,1,0,1,0,0
0,0.04498617743151546,0.375,0.3333333333333333,0.05445717323939373,1,0,1,0,1
0,0.47516261447870134,0.0,0.0,0.05410739813385612,1,0,0,0,0
1,0.31063859912427566,0.125,0.16666666666666666,0.029757819776815374,1,0,0,0,1
1,0.35913546117114853,0.0,0.0,0.020494635090094415,0,0,1,1,0
0,0.2334757476752953,0.0,0.0,0.015923941091001644,1,0,1,0,1
1,0.20834380497612465,0.5,0.3333333333333333,0.015468569817999833,0,0,1,0,1
0,0.32143754712239253,0.25,0.0,0.016908073949327893,1,0,1,0,1
0,0.39683337521990447,0.0,0.0,0.020494635090094415,1,0,1,1,0
0,0.19577783362653933,0.625,0.3333333333333333,0.09154270340242172,0,0,1,0,1
0,0.2586076903744659,0.0,0.0,0.1434624456306609,1,0,1,1,0
0,0.32143754712239253,0.125,0.0,0.028212719478023115,1,0,0,0,1
1,0.39683337521990447,0.0,0.0,0.11027245763075773,1,0,1,0,1
0,0.3088715757728072,0.0,0.0,0.014931805565640218,1,0,1,0,1
0,0.31063859912427566,0.0,0.0,0.015411575213749286,1,0,1,0,1
0,0.31063859912427566,0.0,0.0,0.015712553569072387,1,0,1,0,1
1,0.005152048253329982,0.0,0.3333333333333333,0.056604230248832196,1,0,1,1,0
1,0.37170143252073384,0.0,0.0,0.024349578357040744,0,0,1,0,1
0,0.2711736617240512,0.0,0.0,0.017566830077223785,1,0,1,0,1
1,0.35913546117114853,0.0,0.0,0.018542765081513996,1,0,1,0,1
1,0.31063859912427566,0.0,0.0,0.015200187691820024,0,1,0,0,1
0,0.34656948982156316,0.0,0.0,0.09193307740413781,1,0,1,0,0
1,0.20834380497612465,0.0,0.0,0.020494635090094415,0,0,1,1,0
1,0.4093993465694898,0.375,0.0,0.030937139635999665,0,0,1,0,1
0,0.19577783362653933,0.125,0.5,0.06709553154495196,1,0,1,0,1
0,0.31063859912427566,0.0,0.0,0.015712553569072387,1,0,1,0,1
1,0.2837396330736366,0.375,0.3333333333333333,0.5133418122566507,0,0,1,0,0
0,0.2963056044232219,0.0,0.0,0.015712553569072387,1,0,1,0,1
0,0.35913546117114853,0.0,0.0,0.015712553569072387,1,0,1,0,1
0,0.24604171902488062,0.0,0.0,0.015330377421392339,1,0,1,0,1
0,0.5727569741140991,0.125,0.0,0.11940564777490723,1,0,1,0,0
0,0.32143754712239253,0.125,0.3333333333333333,0.04015972542654215,1,0,1,0,1
0,0.7361146016587082,0.0,0.0,0.014151057562208049,1,0,1,0,1
0,0.31063859912427566,0.0,0.0,0.015712553569072387,1,0,1,0,1
0,0.8869062578537321,0.0,0.0,0.06764049365134761,1,0,0,0,0
1,0.2837396330736366,0.0,0.16666666666666666,0.12366716556464086,1,0,0,0,0
1,0.4219653179190751,0.0,0.16666666666666666,0.044893010197349675,0,0,1,1,0
0,0.4219653179190751,0.125,0.0,0.050748620223090936,1,0,1,1,0
0,0.34656948982156316,0.0,0.0,0.015411575213749286,0,0,1,0,1
0,0.31063859912427566,0.0,0.0,0.015411575213749286,1,0,1,0,1
0,0.2586076903744659,0.0,0.16666666666666666,0.15085515328815924,1,0,1,0,0
0,0.4093993465694898,0.0,0.0,0.016891873428256675,1,0,1,0,1
0,0.4596632319678311,0.25,0.0,0.015468569817999833,1,0,1,0,1
0,0.34656948982156316,0.0,0.0,0.015411575213749286,1,0,1,0,1
1,0.2586076903744659,0.0,0.0,0.014931805565640218,0,0,1,0,1
1,0.31063859912427566,0.0,0.0,0.015175789316712771,1,0,1,0,1
0,0.4722292033174164,0.0,0.0,0.015411575213749286,1,0,1,0,1
1,0.31063859912427566,0.125,0.0,0.04713766070721715,0,1,0,0,1
0,0.5853229454636844,0.0,0.0,0.10149724044618187,1,0,1,0,0
0,0.17692887660216136,0.125,0.0,0.028212719478023115,0,0,0,0,1
0,0.2711736617240512,0.0,0.0,0.015712553569072387,1,0,1,0,1
0,0.24604171902488062,0.125,0.0,0.019177122834302632,0,0,1,0,1
0,0.20834380497612465,0.0,0.0,0.028220722145058292,0,0,0,0,1
0,0.2586076903744659,0.0,0.0,0.015468569817999833,1,0,1,0,1
0,0.8806232721789394,0.0,0.0,0.015126992566498259,1,1,0,0,1
0,0.35913546117114853,0.125,0.0,0.04098927018018883,1,0,1,1,0
0,0.2963056044232219,0.0,0.16666666666666666,0.4831284260198326,1,0,0,0,0
0,0.01985423473234481,0.5,0.3333333333333333,0.06104473451835265,0,0,1,0,1
0,0.2586076903744659,0.25,0.0,0.1434624456306609,1,0,1,1,0
0,0.31063859912427566,0.0,0.0,0.015712553569072387,1,0,1,0,1
0,0.40311636089469716,0.125,0.0,0.058694292654020104,1,0,0,1,0
1,0.40311636089469716,0.0,0.0,0.025374310111545468,0,0,1,1,0
0,0.6732847449107816,0.0,0.16666666666666666,0.15085515328815924,1,0,1,0,0
1,0.14551394822819805,0.125,0.0,0.021942337075458514,1,0,0,0,1
0,0.31063859912427566,0.0,0.0,0.015126992566498259,1,1,0,0,1
1,0.2963056044232219,0.0,0.0,0.01393967004027879,1,0,1,0,1
1,0.31063859912427566,0.125,0.16666666666666666,0.04364049521284362,0,0,0,0,1
0,0.5601910027645137,0.0,0.0,0.013614293309848433,1,0,1,0,1
0,0.4093993465694898,0.0,0.0,0.015411575213749286,1,0,0,0,1
0,0.24604171902488062,0.0,0.0,0.013760683560491965,1,0,1,0,1
0,0.5853229454636844,0.125,0.0,0.028302115124416098,0,0,1,0,1
1,0.35913546117114853,0.125,0.0,0.050748620223090936,0,0,1,1,0
0,0.3088715757728072,0.0,0.0,0.025374310111545468,1,0,1,1,0
0,0.2837396330736366,0.0,0.0,0.02936744577509929,1,0,0,1,0
1,0.2334757476752953,0.0,0.3333333333333333,0.051301584996521765,0,0,1,0,0
0,0.4596632319678311,0.125,0.0,0.10364429745562033,1,0,1,0,0
0,0.19577783362653933,0.0,0.0,0.01798980030808316,1,0,1,0,1
0,0.2963056044232219,0.0,0.0,0.15458810467956932,1,0,0,0,0
0,0.31063859912427566,0.0,0.3333333333333333,0.029757819776815374,0,0,0,0,1
1,0.2711736617240512,0.0,0.0,0.015126992566498259,0,0,1,0,1
1,0.2963056044232219,0.125,0.0,0.030937139635999665,0,0,1,0,1
0,0.2334757476752953,0.0,0.0,0.013175122557917838,1,1,0,0,1
0,0.22090977632571,0.0,0.0,0.022446505098674838,1,0,1,1,0
0,0.2334757476752953,0.125,0.16666666666666666,0.07173122281533045,1,0,1,1,0
1,0.33400351847197784,0.0,0.0,0.015216388212891242,1,0,1,0,1
0,0.10781603417944208,0.25,0.3333333333333333,0.06709553154495196,0,0,1,0,1
0,0.4533802462930384,0.0,0.3333333333333333,0.050748620223090936,1,0,1,1,0
0,0.5224930887157577,0.0,0.0,0.025374310111545468,1,0,1,1,0
0,0.6355868308620256,0.0,0.0,0.02444717185746977,1,0,1,1,0
1,0.2711736617240512,0.125,0.0,0.12999454257145598,0,0,1,0,0
0,0.6921337019351597,0.0,0.0,0.015712553569072387,1,0,1,0,1
0,0.5036441316913798,0.0,0.3333333333333333,0.028302115124416098,1,0,1,0,1
0,0.31063859912427566,0.0,0.0,0.014273049437744325,1,0,1,0,1
0,0.6355868308620256,0.0,0.16666666666666666,0.11980421963065935,1,0,0,0,0
1,0.19577783362653933,0.0,0.0,0.015094396337354966,0,1,0,0,1
0,0.37170143252073384,0.0,0.0,0.015712553569072387,1,0,1,0,1
0,0.31063859912427566,0.0,0.0,0.016908073949327893,1,0,1,0,1
0,0.31063859912427566,1.0,0.3333333333333333,0.13575255909676825,1,0,1,0,1
0,0.5476250314149284,0.0,0.16666666666666666,0.031425107138144774,1,0,1,0,1
1,0.49736114601658704,0.0,0.0,0.030741952635141623,0,0,1,1,0
0,0.32143754712239253,0.0,0.0,0.015175789316712771,1,0,1,0,1
0,0.20834380497612465,0.0,0.0,0.016908073949327893,1,0,1,0,1
0,0.007288263382759488,0.5,0.16666666666666666,0.07746484096553544,1,0,1,0,1
1,0.10781603417944208,0.0,0.3333333333333333,0.04006213192611313,1,0,1,0,1
1,0.47516261447870134,0.0,0.16666666666666666,0.10735285047192313,0,0,1,0,0
0,0.5601910027645137,0.125,0.6666666666666666,0.05445717323939373,0,0,1,0,1
0,0.47516261447870134,0.0,0.0,0.050602229972447406,1,0,1,0,0
0,0.34656948982156316,0.0,0.0,0.11027245763075773,1,0,1,0,1
0,0.7612465443578789,0.0,0.0,0.06538764528744409,1,0,1,0,0
0,0.04498617743151546,0.5,0.16666666666666666,0.05684821399990475,1,1,0,0,1
1,0.007288263382759488,0.125,0.16666666666666666,0.021730754366528396,0,0,1,0,1
0,0.2586076903744659,0.0,0.0,0.015468569817999833,1,0,1,0,1
0,0.6984166876099522,0.0,0.0,0.05991421140938287,1,0,0,0,0
0,0.22090977632571,0.125,0.16666666666666666,0.015330377421392339,1,0,1,0,1
0,0.31063859912427566,0.375,0.16666666666666666,0.049707687947515,1,0,1,0,1
0,0.6230208595124404,0.0,0.0,0.05604306762136532,0,0,0,0,0
0,0.37170143252073384,0.0,0.0,0.025374310111545468,1,0,1,1,0
0,0.4470972606182458,0.0,0.0,0.0,1,0,1,0,1
0,0.31063859912427566,1.0,0.3333333333333333,0.13575255909676825,0,0,1,0,1
0,0.3701637353330418,0.0,0.0,0.02937564362913533,1,0,0,1,0
0,0.10781603417944208,0.5,0.3333333333333333,0.06126431989431795,1,0,1,0,1
1,0.007288263382759488,0.25,0.16666666666666666,0.07612293033463641,1,0,1,1,0
1,0.04498617743151546,0.0,0.3333333333333333,0.04298993693898376,0,0,1,0,1
0,0.47516261447870134,0.0,0.0,0.09759350042902103,1,0,1,0,0
1,0.31063859912427566,0.125,0.0,0.030253985132996517,0,1,0,0,1
1,0.5601910027645137,0.0,0.0,0.051822148727810165,1,0,1,0,0
0,0.49736114601658704,0.125,0.16666666666666666,0.030253985132996517,1,1,0,0,1
0,0.4470972606182458,0.0,0.0,0.015411575213749286,1,0,1,0,1
1,0.39683337521990447,0.0,0.0,0.025374310111545468,0,0,1,1,0
0,0.2334757476752953,0.0,0.0,0.025374310111545468,1,0,1,1,0
1,0.2334757476752953,0.125,0.0,0.015330377421392339,0,0,1,0,1
1,0.032420206081930136,0.125,0.16666666666666666,0.050748620223090936,1,0,1,1,0
1,0.5476250314149284,0.0,0.0,0.05410739813385612,0,0,0,0,0
1,0.723548630309123,0.0,0.0,0.2859895551532101,0,0,0,0,0
0,0.31063859912427566,0.0,0.0,0.015126992566498259,1,1,0,0,1
0,0.5224930887157577,0.0,0.16666666666666666,0.01640390592611157,1,0,1,0,1
1,0.31063859912427566,0.0,0.0,0.015126992566498259,0,1,0,0,1
0,0.2963056044232219,0.0,0.0,0.025374310111545468,0,0,1,1,0
0,0.34656948982156316,0.0,0.0,0.018542765081513996,1,0,1,0,1
0,0.31063859912427566,1.0,0.3333333333333333,0.13575255909676825,1,0,1,0,1
0,0.4219653179190751,0.0,0.0,0.012678957201736696,1,0,1,0,1
0,0.5664739884393064,0.0,0.0,0.014102260811993537,1,0,0,0,1
1,0.22090977632571,0.0,0.0,0.015712553569072387,1,0,1,0,1
0,0.01985423473234481,0.0,0.16666666666666666,0.02042143996477265,0,0,1,0,1
0,0.39683337521990447,0.125,0.0,0.030937139635999665,1,0,1,0,1
1,0.32143754712239253,0.0,0.0,0.036670757786204655,1,0,0,0,1
1,0.19577783362653933,0.0,0.0,0.015126992566498259,0,1,0,0,1
1,0.49736114601658704,0.0,0.0,0.060507970265993034,1,0,0,0,0
0,0.2963056044232219,0.0,0.0,0.013760683560491965,1,0,1,0,1
1,0.4345312892686604,0.0,0.0,0.04098927018018883,0,0,1,1,0
0,0.2711736617240512,0.0,0.0,0.014151057562208049,1,0,1,0,1
0,0.37170143252073384,0.0,0.0,0.025374310111545468,1,0,1,1,0
0,0.31063859912427566,0.125,0.0,0.015126992566498259,1,1,0,0,1
1,0.38426740387031916,0.125,0.0,0.22109807522194713,0,0,0,0,0
1,0.33400351847197784,0.0,0.0,0.015468569817999833,0,0,1,0,1
0,0.5224930887157577,0.125,0.0,0.05270049023167135,1,0,1,1,0
1,0.39683337521990447,0.0,0.0,0.14891148113361488,0,0,0,0,0
0,0.37170143252073384,0.0,0.0,0.020494635090094415,1,0,1,1,0
1,0.19577783362653933,0.0,0.0,0.015712553569072387,1,0,1,0,1
0,0.33400351847197784,0.0,0.0,0.025374310111545468,1,0,1,1,0
0,0.6355868308620256,0.0,0.0,0.015712553569072387,1,0,1,0,1
0,0.31063859912427566,0.0,0.0,0.015411575213749286,1,0,1,0,1
1,0.4722292033174164,0.125,0.0,0.17566830077223786,1,0,1,0,0
0,0.2711736617240512,0.0,0.0,0.018249984580226933,1,0,1,0,1
1,0.2334757476752953,0.0,0.0,0.020494635090094415,1,0,1,1,0
0,0.2523247046996733,0.0,0.0,0.014151057562208049,1,0,1,0,1
0,0.22090977632571,0.0,0.0,0.025374310111545468,1,0,1,1,0
0,0.31063859912427566,0.375,0.16666666666666666,0.049707687947515,0,0,1,0,1
1,0.4345312892686604,0.125,0.0,0.16293234896625058,0,0,1,0,0
0,0.35913546117114853,0.0,0.0,0.015175789316712771,1,0,1,0,1
0,0.7361146016587082,0.0,0.0,0.026350245115835676,1,0,1,1,0
1,0.05755214878110078,0.5,0.3333333333333333,0.06126431989431795,0,0,1,0,1
0,0.2963056044232219,0.0,0.0,0.020494635090094415,1,0,1,1,0
0,0.31063859912427566,0.0,0.0,0.014736618564782174,0,0,1,0,1
0,0.5476250314149284,0.125,0.0,0.050748620223090936,1,0,1,1,0
1,0.09525006282985675,0.0,0.3333333333333333,0.05123658772523604,0,0,1,1,0
0,0.2334757476752953,0.0,0.0,0.020494635090094415,1,0,1,1,0
0,0.4093993465694898,0.0,0.0,0.023959204355324663,1,0,1,1,0
0,0.31063859912427566,0.125,0.0,0.028212719478023115,0,0,0,0,1
1,0.31063859912427566,0.125,0.0,0.030253985132996517,0,1,0,0,1
0,0.35913546117114853,0.0,0.0,0.020494635090094415,1,0,1,1,0
0,0.2711736617240512,0.0,0.0,0.013907073811135496,1,0,1,0,1
0,0.37170143252073384,0.0,0.0,0.014102260811993537,1,0,0,0,1
0,0.5476250314149284,0.25,0.0,0.17566830077223786,1,1,0,0,0
0,0.3088715757728072,0.0,0.0,0.015175789316712771,0,0,1,0,1
1,0.2963056044232219,0.0,0.3333333333333333,0.028302115124416098,0,0,1,1,0
1,0.4596632319678311,0.125,0.16666666666666666,0.10257896680493714,1,0,1,0,0
0,0.6732847449107816,0.125,0.0,0.050748620223090936,1,0,1,1,0
0,0.31063859912427566,0.0,0.0,0.014151057562208049,1,0,1,0,1
0,0.35913546117114853,0.125,0.16666666666666666,0.02042143996477265,0,0,1,0,1
0,0.7738125157074642,0.0,0.0,0.051822148727810165,1,0,1,0,0
0,0.37170143252073384,0.125,0.0,0.031425107138144774,1,0,1,0,1
0,0.5099271173661725,0.0,0.3333333333333333,0.039452172548431745,0,0,1,0,1
1,0.35913546117114853,0.0,0.3333333333333333,0.029757819776815374,0,0,0,0,1
1,0.47516261447870134,0.0,0.0,0.15458810467956932,0,0,0,0,0
1,0.37170143252073384,0.0,0.0,0.16883675574220638,0,0,1,0,0
1,0.4345312892686604,0.0,0.0,1.0,0,0,0,0,0
1,0.6230208595124404,0.0,0.16666666666666666,0.050748620223090936,0,0,1,1,0
0,0.31063859912427566,0.0,0.0,0.015126992566498259,1,1,0,0,1
1,0.032420206081930136,0.5,0.3333333333333333,0.06126431989431795,1,0,1,0,1
0,0.648152802211611,0.125,0.16666666666666666,0.1554664461834305,1,0,1,0,0
0,0.49736114601658704,0.0,0.0,0.0,1,0,1,0,0
0,0.31063859912427566,0.0,0.0,0.015126992566498259,0,1,0,0,1
0,0.4470972606182458,0.0,0.0,0.020494635090094415,1,0,1,1,0
0,0.19577783362653933,0.5,0.16666666666666666,0.07746484096553544,1,0,1,0,1
1,0.3088715757728072,0.125,0.0,0.015175789316712771,1,0,1,0,1
1,0.723548630309123,0.0,0.16666666666666666,0.2995388511917728,0,0,1,0,0
1,0.4345312892686604,0.0,0.0,0.2647385704347907,0,0,1,0,0
0,0.47516261447870134,0.0,0.0,0.060507970265993034,1,0,1,0,0
1,0.3088715757728072,0.0,0.0,0.0,1,0,1,0,1
1,0.5099271173661725,0.0,0.16666666666666666,0.038061465167318204,0,0,1,1,0
0,0.4596632319678311,0.0,0.16666666666666666,0.057970539254838485,1,0,0,0,0
1,0.31063859912427566,0.0,0.0,0.015126992566498259,0,1,0,0,1
1,0.7863784870570495,0.125,0.0,0.15216446768991498,0,0,1,0,0
0,0.5601910027645137,0.0,0.0,0.015126992566498259,0,0,1,0,1
0,0.3701637353330418,0.0,0.0,0.0,1,0,1,1,0
0,0.08268409148027142,0.5,0.16666666666666666,0.05684821399990475,1,1,0,0,1
1,0.4345312892686604,0.125,0.16666666666666666,0.03952536767375352,0,0,1,0,1
0,0.8115104297562202,0.0,0.0,0.015126992566498259,1,1,0,0,1
0,0.34656948982156316,0.0,0.0,0.015330377421392339,1,0,1,0,1
0,0.19577783362653933,0.0,0.0,0.018542765081513996,1,0,1,0,1
1,0.2334757476752953,0.0,0.0,0.015712553569072387,1,0,1,0,1
0,0.47516261447870134,0.0,0.0,0.050748620223090936,1,0,1,0,0
0,0.4093993465694898,0.0,0.0,0.016908073949327893,1,0,0,0,1
1,0.37170143252073384,0.0,0.0,0.018542765081513996,1,0,1,0,1
0,0.2711736617240512,0.0,0.0,0.015411575213749286,1,0,1,0,1
1,0.5224930887157577,0.0,0.0,0.025374310111545468,1,0,1,1,0
1,0.2711736617240512,0.0,0.0,0.015126992566498259,0,1,0,0,1
1,0.32143754712239253,0.0,0.0,0.15390495017656614,0,0,1,0,0
1,0.2334757476752953,0.125,0.0,0.17777475888549785,0,0,0,0,0
0,0.4470972606182458,0.0,0.0,0.025130326360472913,1,0,0,1,0
0,0.2963056044232219,0.0,0.0,0.01727404957593672,0,0,1,0,1
0,0.2963056044232219,0.0,0.0,0.015411575213749286,1,0,1,0,1
